,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[84.20878410339355, 441.46167755126953, -5.835058254888281e-05]","[136.38707160949707, 441.0555839538574, -0.017857583239674568]","[182.99863815307617, 423.13133239746094, -0.03560187295079231]","[211.9611930847168, 398.45706939697266, -0.05777876079082489]","[227.94031143188477, 372.28577613830566, -0.07782747596502304]","[184.2270851135254, 355.629243850708, 0.0035615123342722654]","[217.40644454956055, 324.7269916534424, -0.003785225097090006]","[237.7346420288086, 326.05052947998047, -0.013858589343726635]","[246.1834716796875, 335.8102798461914, -0.021625680848956108]","[163.7632179260254, 342.9437255859375, -0.0010393735719844699]","[195.7107162475586, 309.8727035522461, -0.0031287805177271366]","[214.55692291259766, 317.58630752563477, -0.010207468643784523]","[221.88085556030273, 332.1727180480957, -0.011020123958587646]","[141.63360595703125, 339.9077796936035, -0.00865686871111393]","[171.2999725341797, 311.49481773376465, -0.007786366622895002]","[190.65093994140625, 320.24765968322754, -0.009329602122306824]","[198.70067596435547, 335.34318923950195, -0.010744145140051842]","[117.90000915527344, 344.00041580200195, -0.020032480359077454]","[142.82470703125, 319.4081211090088, -0.023104367777705193]","[162.88227081298828, 323.3639717102051, -0.026079362258315086]","[173.05747985839844, 333.65020751953125, -0.025164008140563965]"
1,"[77.91509628295898, 411.7773628234863, -3.7362351577030495e-05]","[147.58122444152832, 399.9220848083496, 0.015852108597755432]","[195.59165954589844, 379.47529792785645, 0.005851072259247303]","[226.71951293945312, 361.19627952575684, -0.01757172867655754]","[254.86106872558594, 340.20984649658203, -0.04435068741440773]","[190.41584014892578, 329.9776554107666, -0.010185260325670242]","[214.15912628173828, 298.52874755859375, -0.04195351526141167]","[237.95333862304688, 284.03343200683594, -0.06867080926895142]","[263.6505889892578, 274.9194145202637, -0.08781979978084564]","[170.54100036621094, 320.2628517150879, -0.04899326339364052]","[195.0383758544922, 286.85943603515625, -0.09142103046178818]","[219.96095657348633, 274.2812919616699, -0.13243281841278076]","[244.59051132202148, 271.00467681884766, -0.15961259603500366]","[148.00079345703125, 318.56964111328125, -0.08601946383714676]","[168.16980361938477, 284.3321228027344, -0.13052885234355927]","[192.99371719360352, 273.69346618652344, -0.16873595118522644]","[219.0791130065918, 273.9661502838135, -0.1936434954404831]","[124.3193244934082, 323.57322692871094, -0.12018401175737381]","[133.6865997314453, 291.6530227661133, -0.16039596498012543]","[150.20298957824707, 280.7735538482666, -0.18557603657245636]","[170.90837478637695, 280.91480255126953, -0.20309153199195862]"
2,"[126.28549575805664, 349.18493270874023, -4.692809670814313e-05]","[176.5243911743164, 350.9370803833008, -0.06369083374738693]","[225.6386947631836, 335.84132194519043, -0.12460048496723175]","[257.07630157470703, 317.5814437866211, -0.1790844202041626]","[281.17515563964844, 301.8420124053955, -0.23328819870948792]","[245.89740753173828, 269.34179306030273, -0.12344188988208771]","[285.06717681884766, 231.41223907470703, -0.1853639781475067]","[302.36371994018555, 234.6756649017334, -0.23314689099788666]","[307.2776794433594, 250.87200164794922, -0.26899561285972595]","[220.99756240844727, 250.484619140625, -0.12949346005916595]","[258.7545394897461, 207.89867877960205, -0.190913125872612]","[275.4761505126953, 217.3663330078125, -0.2273825705051422]","[277.8986358642578, 237.6494836807251, -0.25436094403266907]","[191.12154006958008, 241.73523902893066, -0.13795046508312225]","[221.30456924438477, 208.04513454437256, -0.1874251365661621]","[234.0609359741211, 221.9795322418213, -0.21419836580753326]","[237.10601806640625, 243.73489379882812, -0.23316843807697296]","[157.3518943786621, 241.03506088256836, -0.1517321914434433]","[178.4903335571289, 213.21106910705566, -0.19439037144184113]","[188.55806350708008, 224.25750732421875, -0.21503512561321259]","[191.92012786865234, 241.32030487060547, -0.2286636084318161]"
3,"[119.64884757995605, 325.70448875427246, -7.744043250568211e-05]","[179.51610565185547, 322.6384162902832, -0.014447675086557865]","[229.27316665649414, 311.51970863342285, -0.03892979770898819]","[265.1112365722656, 298.9669132232666, -0.07219190150499344]","[297.22705841064453, 288.035831451416, -0.11184265464544296]","[239.55263137817383, 251.3540554046631, -0.021869076415896416]","[278.1162643432617, 225.37323474884033, -0.07027482986450195]","[299.96219635009766, 218.4375, -0.1062733381986618]","[320.27015686035156, 217.0281171798706, -0.13108274340629578]","[218.40333938598633, 236.31863594055176, -0.04832221195101738]","[250.75815200805664, 199.1215181350708, -0.09842237085103989]","[273.79940032958984, 186.41318321228027, -0.1405879557132721]","[295.18409729003906, 181.99241638183594, -0.17332476377487183]","[193.39157104492188, 231.4980411529541, -0.08104950934648514]","[219.18956756591797, 194.77548122406006, -0.13163906335830688]","[240.3101921081543, 181.91476821899414, -0.18166673183441162]","[260.7600784301758, 177.6123332977295, -0.21652919054031372]","[164.7323989868164, 234.2688274383545, -0.11431463062763214]","[175.02872467041016, 202.30971336364746, -0.1558389663696289]","[187.76206970214844, 186.05149269104004, -0.19150082767009735]","[203.41814041137695, 175.32297134399414, -0.22011321783065796]"
4,"[130.7941722869873, 308.5774612426758, -0.00012113520642742515]","[190.89584350585938, 305.24577140808105, -0.007801452651619911]","[237.4690055847168, 297.64918327331543, -0.03273456543684006]","[273.48133087158203, 288.4413528442383, -0.06925330311059952]","[307.47650146484375, 281.52817726135254, -0.11313455551862717]","[248.63906860351562, 237.7720069885254, -0.015242469497025013]","[286.9672203063965, 215.65921783447266, -0.060084130614995956]","[311.0959053039551, 208.67202758789062, -0.09489897638559341]","[335.54969787597656, 204.68399047851562, -0.12154650688171387]","[230.52003860473633, 220.3682041168213, -0.04248027130961418]","[265.47698974609375, 190.38052082061768, -0.08569681644439697]","[291.12653732299805, 175.2967643737793, -0.1197328194975853]","[317.9214096069336, 161.93856239318848, -0.1457580178976059]","[206.05230331420898, 211.86058044433594, -0.07503478229045868]","[231.54157638549805, 176.70501708984375, -0.11592569947242737]","[252.48449325561523, 159.01216506958008, -0.15128067135810852]","[275.98045349121094, 144.23973083496094, -0.17588305473327637]","[176.72178268432617, 210.84267139434814, -0.10791599005460739]","[184.76470947265625, 176.23701095581055, -0.14034466445446014]","[195.7971954345703, 156.03984832763672, -0.16399095952510834]","[210.5763816833496, 137.79923915863037, -0.1815825253725052]"
5,"[142.89108276367188, 294.37917709350586, -0.00013941132056061178]","[199.8011016845703, 294.2381000518799, -0.013390014879405499]","[247.53448486328125, 288.15771102905273, -0.03790610656142235]","[285.7763481140137, 278.73218536376953, -0.07141352444887161]","[317.2473335266113, 270.7335090637207, -0.10979761183261871]","[257.8016662597656, 227.79767990112305, -0.009475242346525192]","[298.2066345214844, 208.5984706878662, -0.0399014987051487]","[321.3164520263672, 199.3704128265381, -0.06324546039104462]","[344.54906463623047, 191.2045669555664, -0.07897326350212097]","[241.16846084594727, 209.1482162475586, -0.028839869424700737]","[277.3638343811035, 180.15146255493164, -0.05591144412755966]","[302.47459411621094, 163.1605052947998, -0.07936713844537735]","[327.0535659790039, 146.63487911224365, -0.09558280557394028]","[218.49605560302734, 198.30822944641113, -0.054053518921136856]","[246.2745475769043, 163.648681640625, -0.08138120174407959]","[267.882022857666, 144.1720676422119, -0.10269474238157272]","[290.1887893676758, 126.67282104492188, -0.11875960975885391]","[189.90264892578125, 194.75895881652832, -0.07982496172189713]","[199.43914413452148, 160.30733585357666, -0.10394442081451416]","[209.44656372070312, 140.05024909973145, -0.11977727711200714]","[221.89632415771484, 121.05810642242432, -0.13114619255065918]"
6,"[154.76747512817383, 284.3910598754883, -0.00013743260933551937]","[206.69164657592773, 288.89665603637695, -0.016570182517170906]","[254.90509033203125, 283.2790946960449, -0.03675539419054985]","[293.54015350341797, 273.67249488830566, -0.06397092342376709]","[321.06300354003906, 264.9240303039551, -0.09498901665210724]","[266.8846130371094, 224.41193103790283, -0.009345052763819695]","[307.42143630981445, 206.04759693145752, -0.03568113595247269]","[330.35335540771484, 196.99918270111084, -0.05423254519701004]","[352.4892044067383, 189.07323360443115, -0.06596968322992325]","[250.8782958984375, 203.76391410827637, -0.024864444509148598]","[288.0491638183594, 174.87127304077148, -0.04677850380539894]","[312.70755767822266, 157.15639114379883, -0.06734191626310349]","[335.0371551513672, 141.38720512390137, -0.0812646672129631]","[228.68562698364258, 191.0800552368164, -0.04717443510890007]","[257.41371154785156, 156.48715496063232, -0.07130719721317291]","[278.59554290771484, 136.61004066467285, -0.09110315144062042]","[299.34192657470703, 120.4280948638916, -0.1064186841249466]","[200.3391456604004, 185.92516422271729, -0.06974570453166962]","[210.687255859375, 151.20580673217773, -0.09009874612092972]","[220.1573944091797, 130.26894092559814, -0.10315515100955963]","[231.85903549194336, 111.49281978607178, -0.11481192708015442]"
7,"[163.27388763427734, 275.9524154663086, -0.00011650018132058904]","[211.0421371459961, 285.4737854003906, -0.023972181603312492]","[257.7705764770508, 282.0135498046875, -0.04801882058382034]","[295.3030586242676, 273.8940238952637, -0.07573521882295609]","[321.2742614746094, 267.02430725097656, -0.10663061589002609]","[272.5386047363281, 220.43498039245605, -0.02457469515502453]","[314.2736053466797, 202.3157787322998, -0.05369902029633522]","[338.23219299316406, 193.73106479644775, -0.07360140979290009]","[360.3355407714844, 186.3086986541748, -0.08655758947134018]","[256.2553405761719, 199.02268409729004, -0.03579875826835632]","[294.8550033569336, 170.22902011871338, -0.06169572472572327]","[319.74342346191406, 152.8954839706421, -0.08416825532913208]","[342.236328125, 137.36452102661133, -0.10217905789613724]","[233.92536163330078, 185.8057451248169, -0.05414208024740219]","[262.63885498046875, 151.75217628479004, -0.08160333335399628]","[283.39834213256836, 131.68593406677246, -0.10380659997463226]","[304.2421531677246, 114.99236583709717, -0.12150738388299942]","[205.4216194152832, 180.41115760803223, -0.07358801364898682]","[214.42821502685547, 147.3031997680664, -0.09459253400564194]","[222.71759033203125, 126.24764442443848, -0.10935217887163162]","[233.5377311706543, 106.92825078964233, -0.12320171296596527]"
8,"[166.77074432373047, 275.6924343109131, -8.295766019728035e-05]","[212.87172317504883, 285.58021545410156, -0.026924213394522667]","[259.8524475097656, 280.5245590209961, -0.049375783652067184]","[296.7847442626953, 270.8261203765869, -0.07392062991857529]","[323.75049591064453, 263.0735206604004, -0.10122361034154892]","[272.2055244445801, 221.54253959655762, -0.026192527264356613]","[312.7547836303711, 202.97646045684814, -0.059904444962739944]","[336.8975067138672, 194.56915855407715, -0.08280526101589203]","[359.43809509277344, 187.16803550720215, -0.09807722270488739]","[255.67928314208984, 199.91224765777588, -0.036692917346954346]","[293.1589889526367, 171.37799263000488, -0.06656819581985474]","[318.94561767578125, 153.68657112121582, -0.09058593958616257]","[342.38033294677734, 138.73213291168213, -0.10983816534280777]","[233.00182342529297, 186.77342891693115, -0.05521680787205696]","[260.6416320800781, 152.7114486694336, -0.08512921631336212]","[282.17851638793945, 132.25243091583252, -0.10913778841495514]","[303.1468391418457, 116.6061544418335, -0.1283399611711502]","[204.63768005371094, 181.27421379089355, -0.07525894045829773]","[214.38556671142578, 147.4815273284912, -0.09795457124710083]","[224.0012550354004, 125.39882183074951, -0.11532200872898102]","[235.40796279907227, 106.60800218582153, -0.12992559373378754]"
9,"[167.48409271240234, 271.2997627258301, -6.864460010547191e-05]","[212.28347778320312, 283.4784507751465, -0.026320690289139748]","[257.95677185058594, 278.8873100280762, -0.047708284109830856]","[294.6909713745117, 270.3190326690674, -0.07079637795686722]","[321.1289978027344, 263.3856010437012, -0.09748784452676773]","[270.889835357666, 221.04127407073975, -0.03710908442735672]","[313.33545684814453, 202.43046283721924, -0.07276616245508194]","[338.8374710083008, 193.37432384490967, -0.09643974155187607]","[362.0819854736328, 184.75855350494385, -0.11279594898223877]","[254.9646759033203, 199.32233333587646, -0.04844379425048828]","[293.1537628173828, 170.75623512268066, -0.07951828092336655]","[320.1340103149414, 151.83312892913818, -0.1038692370057106]","[343.52577209472656, 136.2101125717163, -0.12439041584730148]","[232.19139099121094, 185.9943151473999, -0.0668717548251152]","[260.4412841796875, 151.28055095672607, -0.09954801946878433]","[281.6497039794922, 128.98332595825195, -0.1248653307557106]","[301.6604423522949, 111.76003217697144, -0.14641320705413818]","[203.53618621826172, 180.40876865386963, -0.08619274199008942]","[212.14876174926758, 145.831618309021, -0.11167130619287491]","[219.91079330444336, 122.5660514831543, -0.13075056672096252]","[228.86194229125977, 102.71545886993408, -0.1466607302427292]"
10,"[168.9653778076172, 270.1021671295166, -4.2981486330972984e-05]","[212.20354080200195, 282.9696464538574, -0.02743247151374817]","[257.29732513427734, 277.7776908874512, -0.04925204813480377]","[293.72608184814453, 270.0114440917969, -0.07235424220561981]","[319.16425704956055, 263.63182067871094, -0.0981212928891182]","[270.9124565124512, 221.3409662246704, -0.041307784616947174]","[313.72167587280273, 203.05675506591797, -0.07843330502510071]","[340.6079864501953, 193.0514430999756, -0.1038847267627716]","[364.7132873535156, 183.2149887084961, -0.12226378172636032]","[255.09140014648438, 199.17124271392822, -0.05317072942852974]","[292.8786849975586, 169.54735279083252, -0.08544546365737915]","[320.10372161865234, 149.4679355621338, -0.11144638806581497]","[342.8426742553711, 133.81957054138184, -0.13083265721797943]","[232.28387832641602, 184.75004196166992, -0.07166103273630142]","[260.6897163391113, 148.41127395629883, -0.1057073324918747]","[282.03433990478516, 124.81339931488037, -0.1288510411977768]","[301.5318298339844, 107.21469640731812, -0.14869676530361176]","[202.94506072998047, 177.93760299682617, -0.09106148779392242]","[209.80607986450195, 141.45113468170166, -0.11859523504972458]","[216.31399154663086, 116.05722427368164, -0.13779200613498688]","[223.84653091430664, 94.24527168273926, -0.15341733396053314]"
11,"[168.2489013671875, 267.82276153564453, -3.77611031581182e-05]","[209.6817970275879, 282.7617645263672, -0.021471118554472923]","[255.24957656860352, 278.2543087005615, -0.03846679627895355]","[291.9291114807129, 272.5751495361328, -0.057289376854896545]","[317.9007148742676, 270.5558967590332, -0.0802004486322403]","[270.4260063171387, 220.20785808563232, -0.035992398858070374]","[313.1671333312988, 202.2376298904419, -0.06984949111938477]","[339.9839782714844, 191.66650772094727, -0.0909443348646164]","[363.67271423339844, 181.2281370162964, -0.10680283606052399]","[254.627685546875, 197.9466676712036, -0.052152425050735474]","[292.7496337890625, 167.84066677093506, -0.08271025121212006]","[319.627628326416, 147.63047218322754, -0.10563449561595917]","[341.8802261352539, 131.59741401672363, -0.12260224670171738]","[231.9074249267578, 183.39191436767578, -0.07415600121021271]","[260.1266860961914, 146.31252765655518, -0.10863471776247025]","[281.10069274902344, 122.28157997131348, -0.13185158371925354]","[300.84117889404297, 103.90412092208862, -0.15093791484832764]","[202.74227142333984, 176.70204162597656, -0.09664863348007202]","[207.32601165771484, 140.39325714111328, -0.12654663622379303]","[211.7975616455078, 114.6829891204834, -0.14551925659179688]","[217.82400131225586, 91.60496234893799, -0.15926243364810944]"
12,"[168.55295181274414, 264.19981956481934, -1.4874251064611599e-05]","[210.3868865966797, 279.4288444519043, -0.023883424699306488]","[255.20524978637695, 276.1581802368164, -0.04391953721642494]","[291.5609931945801, 271.67049407958984, -0.06509523093700409]","[317.5981903076172, 271.0828399658203, -0.09079892933368683]","[269.86597061157227, 218.3968734741211, -0.04575267806649208]","[312.8579902648926, 200.99513053894043, -0.08109965175390244]","[339.7382354736328, 191.027569770813, -0.10293562710285187]","[363.67431640625, 180.9556531906128, -0.11930286139249802]","[254.14440155029297, 196.16792678833008, -0.06042790785431862]","[293.3317565917969, 166.19489192962646, -0.0943964272737503]","[320.3327941894531, 145.64672470092773, -0.11974512785673141]","[342.6114273071289, 129.4167995452881, -0.13771860301494598]","[231.3644027709961, 181.49365425109863, -0.08032926917076111]","[259.77970123291016, 144.25808429718018, -0.11741670221090317]","[280.600643157959, 119.79576587677002, -0.14220623672008514]","[299.81712341308594, 101.19977474212646, -0.162419393658638]","[202.15816497802734, 174.72002506256104, -0.09999072551727295]","[206.45076751708984, 137.9725742340088, -0.13305196166038513]","[210.5196762084961, 112.20675945281982, -0.15321551263332367]","[215.97745895385742, 89.1002082824707, -0.16705560684204102]"
